<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2005.01.03	1.35620	1.35810	1.33850	1.34680	9658	0	30
2005.01.04	1.34650	1.34970	1.32480	1.32700	10002	0	30
2005.01.05	1.32720	1.33040	1.32130	1.32720	9867	0	30
2005.01.06	1.32750	1.32830	1.31540	1.31810	9845	0	30
2005.01.07	1.31790	1.32520	1.30240	1.30720	9865	0	30
2005.01.10	1.30580	1.31260	1.30520	1.31000	8992	0	30
2005.01.11	1.31050	1.31720	1.31000	1.31180	9289	0	30
2005.01.12	1.31180	1.32940	1.30820	1.32500	9282	0	30
2005.01.13	1.32500	1.32690	1.31930	1.32130	9104	0	30
2005.01.14	1.32130	1.32170	1.30550	1.30950	10097	0	30
2005.01.17	1.31090	1.31290	1.30400	1.30460	7732	0	30
2005.01.18	1.30460	1.30770	1.29930	1.30170	9292	0	30
2005.01.19	1.30180	1.31200	1.29630	1.30080	9293	0	30
2005.01.20	1.30080	1.30260	1.29220	1.29570	9698	0	30
2005.01.21	1.29590	1.30690	1.29320	1.30080	9624	0	30
2005.01.24	1.30460	1.31020	1.30290	1.30450	9073	0	30
2005.01.25	1.30450	1.30780	1.29450	1.29740	9283	0	30
2005.01.26	1.29770	1.31110	1.29650	1.30740	9429	0	30
2005.01.27	1.30760	1.31260	1.30100	1.30410	9550	0	30
2005.01.28	1.30410	1.30830	1.29850	1.30560	9336	0	30
2005.01.31	1.30120	1.30610	1.29740	1.30450	9200	0	30
2005.02.01	1.30460	1.30690	1.29990	1.30440	9672	0	30
2005.02.02	1.30430	1.30980	1.30080	1.30330	9775	0	30
2005.02.03	1.30350	1.30390	1.29390	1.29760	9250	0	30
2005.02.04	1.29740	1.30440	1.28640	1.28640	9309	0	30
2005.02.07	1.28550	1.28660	1.27320	1.27520	9264	0	30
2005.02.08	1.27530	1.27990	1.27320	1.27630	9362	0	30
2005.02.09	1.27630	1.28150	1.27380	1.28110	9151	0	30
2005.02.10	1.28100	1.29090	1.27380	1.28760	9690	0	30
2005.02.11	1.28750	1.28980	1.28440	1.28650	8644	0	30
2005.02.14	1.28810	1.29920	1.28770	1.29720	8694	0	30
2005.02.15	1.29720	1.30540	1.29520	1.30180	9318	0	30
2005.02.16	1.30190	1.30660	1.29590	1.30250	9605	0	30
2005.02.17	1.30260	1.30910	1.30140	1.30740	8722	0	30
2005.02.18	1.30750	1.30850	1.30140	1.30640	8512	0	30
2005.02.21	1.30520	1.30810	1.30310	1.30600	7718	0	30
2005.02.22	1.30590	1.32710	1.30540	1.32550	9658	0	30
2005.02.23	1.32550	1.32760	1.31850	1.32070	9590	0	30
2005.02.24	1.32080	1.32720	1.31760	1.31940	9423	0	30
2005.02.25	1.31950	1.32520	1.31450	1.32430	9204	0	30
2005.02.28	1.32380	1.32800	1.32130	1.32150	9106	0	30
2005.03.01	1.32160	1.32280	1.31670	1.31850	9119	0	30
2005.03.02	1.31870	1.31890	1.30870	1.31360	9242	0	30
2005.03.03	1.31370	1.31670	1.30970	1.31080	8901	0	30
2005.03.04	1.31070	1.32560	1.30950	1.32410	8971	0	30
2005.03.07	1.32360	1.32490	1.31770	1.32160	8440	0	30
2005.03.08	1.32170	1.33640	1.32080	1.33540	8811	0	30
2005.03.09	1.33520	1.34260	1.33290	1.33900	9711	0	30
2005.03.10	1.33900	1.34570	1.33700	1.34090	9961	0	30
2005.03.11	1.34050	1.34830	1.33910	1.34580	9911	0	30
2005.03.14	1.34630	1.34790	1.33350	1.33660	9015	0	30
2005.03.15	1.33640	1.34120	1.32960	1.33100	9653	0	30
2005.03.16	1.33090	1.34420	1.32900	1.34170	9489	0	30
2005.03.17	1.34200	1.34230	1.33410	1.33790	9400	0	30
2005.03.18	1.33800	1.33890	1.32650	1.33210	8849	0	30
2005.03.21	1.33100	1.33180	1.31400	1.31670	9231	0	30
2005.03.22	1.31680	1.32210	1.30540	1.30850	9675	0	30
2005.03.23	1.30850	1.30890	1.29600	1.29890	9543	0	30
2005.03.24	1.29890	1.30350	1.29320	1.29430	9221	0	30
2005.03.25	1.29400	1.29720	1.29280	1.29560	6510	0	30
2005.03.28	1.29620	1.29640	1.28560	1.28950	8512	0	30
2005.03.29	1.28950	1.29570	1.28770	1.29250	9296	0	30
2005.03.30	1.29220	1.29870	1.29110	1.29160	9785	0	30
2005.03.31	1.29140	1.30210	1.29100	1.29650	9619	0	30
2005.04.01	1.29620	1.30600	1.28700	1.29080	9662	0	30
2005.04.04	1.28850	1.29070	1.28190	1.28530	9133	0	30
2005.04.05	1.28530	1.28780	1.28000	1.28530	9288	0	30
2005.04.06	1.28530	1.29120	1.28390	1.28720	9161	0	30
2005.04.07	1.28720	1.29420	1.28450	1.28510	9484	0	30
2005.04.08	1.28540	1.29420	1.28110	1.29180	8882	0	30
2005.04.11	1.29260	1.30050	1.29070	1.29740	9021	0	30
2005.04.12	1.29760	1.30170	1.28630	1.29180	9702	0	30
2005.04.13	1.29190	1.29560	1.28490	1.29190	9437	0	30
2005.04.14	1.29200	1.29230	1.27670	1.27990	9708	0	30
2005.04.15	1.28000	1.29420	1.27780	1.29000	9602	0	30
2005.04.18	1.29180	1.30460	1.28760	1.30280	9340	0	30
2005.04.19	1.30240	1.30810	1.29810	1.30570	11996	0	30
2005.04.20	1.30570	1.31060	1.29910	1.30870	11858	0	30
2005.04.21	1.30870	1.31270	1.30240	1.30500	11908	0	30
2005.04.22	1.30520	1.30960	1.30210	1.30620	11057	0	30
2005.04.25	1.30570	1.30630	1.29540	1.29890	11919	0	30
2005.04.26	1.29880	1.30170	1.29440	1.29920	11588	0	30
2005.04.27	1.29910	1.29960	1.29030	1.29260	12024	0	30
2005.04.28	1.29230	1.29450	1.28810	1.29020	12128	0	30
2005.04.29	1.29040	1.29820	1.28530	1.28740	11421	0	30
2005.05.02	1.28620	1.28780	1.28360	1.28520	10096	0	30
2005.05.03	1.28510	1.29150	1.28270	1.28740	11270	0	30
2005.05.04	1.28740	1.29770	1.28700	1.29550	12220	0	30
2005.05.05	1.29520	1.29930	1.29250	1.29580	11572	0	30
2005.05.06	1.29570	1.29690	1.28100	1.28380	11408	0	30
2005.05.09	1.28160	1.28790	1.27890	1.28630	11809	0	30
2005.05.10	1.28610	1.28930	1.28150	1.28790	11620	0	30
2005.05.11	1.28770	1.29160	1.27770	1.28060	12364	0	30
2005.05.12	1.28060	1.28190	1.26650	1.26790	12494	0	30
2005.05.13	1.26790	1.26910	1.26040	1.26140	11467	0	30
2005.05.16	1.26250	1.26540	1.25800	1.26340	11668	0	30
2005.05.17	1.26350	1.26670	1.25930	1.26120	11907	0	30
2005.05.18	1.26090	1.26920	1.25850	1.26790	11688	0	30
2005.05.19	1.26780	1.26940	1.26040	1.26410	11600	0	30
2005.05.20	1.26380	1.26580	1.25350	1.25510	11151	0	30
2005.05.23	1.25430	1.26000	1.25340	1.25700	11116	0	30
2005.05.24	1.25690	1.26320	1.25560	1.25820	11635	0	30
2005.05.25	1.25760	1.26220	1.25510	1.26030	11512	0	30
2005.05.26	1.26030	1.26180	1.24930	1.25120	11741	0	30
2005.05.27	1.25110	1.25930	1.25050	1.25800	10507	0	30
2005.05.30	1.25380	1.25490	1.24620	1.24740	10301	0	30
