<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2005.01.03	1.91920	1.92040	1.89810	1.90560	11154	0	40
2005.01.04	1.90530	1.90850	1.87800	1.88190	11105	0	40
2005.01.05	1.88220	1.88990	1.87300	1.88440	11427	0	40
2005.01.06	1.88460	1.88580	1.86960	1.87680	11230	0	40
2005.01.07	1.87660	1.88650	1.86450	1.87120	11951	0	40
2005.01.10	1.87010	1.87950	1.86960	1.87700	10594	0	40
2005.01.11	1.87750	1.88240	1.87510	1.87910	10606	0	40
2005.01.12	1.87890	1.89420	1.86950	1.89020	10467	0	40
2005.01.13	1.89020	1.89310	1.87930	1.88130	10477	0	40
2005.01.14	1.88130	1.88260	1.86380	1.87050	11596	0	40
2005.01.17	1.87040	1.87530	1.85760	1.85820	9191	0	40
2005.01.18	1.85800	1.87400	1.85230	1.86530	11405	0	40
2005.01.19	1.86540	1.88310	1.86270	1.87030	10853	0	40
2005.01.20	1.87020	1.87550	1.86360	1.87230	11146	0	40
2005.01.21	1.87240	1.88110	1.86120	1.87710	10939	0	40
2005.01.24	1.87850	1.88400	1.87400	1.87850	10581	0	40
2005.01.25	1.87830	1.88110	1.86230	1.86430	10678	0	40
2005.01.26	1.86430	1.88580	1.86340	1.88170	10966	0	40
2005.01.27	1.88220	1.89320	1.87930	1.88960	10613	0	40
2005.01.28	1.88920	1.89180	1.87840	1.88750	10603	0	40
2005.01.31	1.88530	1.88860	1.87860	1.88390	10354	0	40
2005.02.01	1.88400	1.88680	1.87760	1.88300	10151	0	40
2005.02.02	1.88330	1.88900	1.88220	1.88660	10085	0	40
2005.02.03	1.88650	1.89160	1.87690	1.88180	10536	0	40
2005.02.04	1.88170	1.89220	1.87280	1.87470	10763	0	40
2005.02.07	1.87200	1.87540	1.85470	1.85630	10499	0	40
2005.02.08	1.85580	1.86000	1.85090	1.85370	10291	0	40
2005.02.09	1.85360	1.86460	1.85240	1.85870	10698	0	40
2005.02.10	1.85880	1.87330	1.85070	1.86820	10807	0	40
2005.02.11	1.86860	1.87120	1.86240	1.86970	9304	0	40
2005.02.14	1.86970	1.89190	1.86770	1.88710	10595	0	40
2005.02.15	1.88710	1.89790	1.88310	1.89540	10867	0	40
2005.02.16	1.89540	1.89630	1.87530	1.88430	11276	0	40
2005.02.17	1.88440	1.89600	1.88350	1.89510	10037	0	40
2005.02.18	1.89510	1.89740	1.88920	1.89430	9905	0	40
2005.02.21	1.89340	1.90010	1.89060	1.89610	8408	0	40
2005.02.22	1.89610	1.91390	1.89520	1.91040	10761	0	40
2005.02.23	1.91040	1.91350	1.90420	1.90750	11137	0	40
2005.02.24	1.90750	1.91440	1.90150	1.90900	11168	0	40
2005.02.25	1.90890	1.92000	1.90630	1.91900	10348	0	40
2005.02.28	1.91730	1.92620	1.91630	1.92020	10248	0	40
2005.03.01	1.92030	1.92310	1.91690	1.92030	10236	0	40
2005.03.02	1.92040	1.92110	1.90780	1.91330	10028	0	40
2005.03.03	1.91340	1.91410	1.90570	1.90660	9590	0	40
2005.03.04	1.90670	1.92760	1.90540	1.92270	9679	0	40
2005.03.07	1.92300	1.92530	1.91120	1.91520	9224	0	40
2005.03.08	1.91510	1.93280	1.91290	1.92990	10235	0	40
2005.03.09	1.92970	1.93220	1.92000	1.92440	10568	0	40
2005.03.10	1.92460	1.93080	1.92050	1.92170	11107	0	40
2005.03.11	1.92160	1.92930	1.91630	1.92620	10801	0	40
2005.03.14	1.92640	1.92780	1.90990	1.91330	10178	0	40
2005.03.15	1.91360	1.92580	1.91110	1.91270	10704	0	40
2005.03.16	1.91270	1.92950	1.91100	1.92740	10760	0	40
2005.03.17	1.92750	1.92850	1.91840	1.92530	10531	0	40
2005.03.18	1.92510	1.92540	1.91250	1.92210	9833	0	40
2005.03.21	1.91980	1.92030	1.89420	1.89680	10270	0	40
2005.03.22	1.89670	1.90250	1.87990	1.88580	10624	0	40
2005.03.23	1.88580	1.88880	1.86610	1.86930	11026	0	40
2005.03.24	1.86930	1.87420	1.86710	1.86930	10545	0	40
2005.03.25	1.86910	1.87250	1.86760	1.87120	7591	0	40
2005.03.28	1.87050	1.87070	1.85930	1.86670	9403	0	40
2005.03.29	1.86700	1.87680	1.86500	1.87400	10300	0	40
2005.03.30	1.87410	1.88500	1.87380	1.87840	10734	0	40
2005.03.31	1.87840	1.89210	1.87540	1.89040	10675	0	40
2005.04.01	1.89010	1.89790	1.87600	1.88160	11031	0	40
2005.04.04	1.87820	1.88080	1.87090	1.87620	9587	0	40
2005.04.05	1.87610	1.88190	1.87170	1.87980	9930	0	40
2005.04.06	1.87970	1.88500	1.87410	1.88080	10530	0	40
2005.04.07	1.88040	1.88620	1.86800	1.87080	10641	0	40
2005.04.08	1.87070	1.88620	1.86710	1.88620	9717	0	40
2005.04.11	1.88490	1.89360	1.88120	1.89080	9619	0	40
2005.04.12	1.89080	1.89570	1.88290	1.89190	10194	0	40
2005.04.13	1.89200	1.89580	1.88720	1.89440	10514	0	40
2005.04.14	1.89420	1.89500	1.87570	1.87980	10984	0	40
2005.04.15	1.88000	1.89500	1.87710	1.89300	10858	0	40
2005.04.18	1.89340	1.90590	1.88830	1.90410	10136	0	40
2005.04.19	1.90400	1.92100	1.90000	1.91740	12461	0	40
2005.04.20	1.91710	1.92200	1.90970	1.91970	12602	0	40
2005.04.21	1.91970	1.92180	1.90630	1.90750	12677	0	40
2005.04.22	1.90750	1.91720	1.90550	1.91430	11341	0	40
2005.04.25	1.91690	1.91770	1.90790	1.91130	11976	0	40
2005.04.26	1.91110	1.91340	1.90200	1.90580	11842	0	40
2005.04.27	1.90570	1.90990	1.89870	1.90360	11965	0	40
2005.04.28	1.90360	1.91080	1.90150	1.90730	12336	0	40
2005.04.29	1.90720	1.91630	1.90540	1.90860	12549	0	40
2005.05.02	1.90660	1.90700	1.89250	1.89500	10562	0	40
2005.05.03	1.89490	1.89610	1.88840	1.89210	12104	0	40
2005.05.04	1.89240	1.90370	1.89200	1.90260	12779	0	40
2005.05.05	1.90270	1.90790	1.89950	1.90350	11900	0	40
2005.05.06	1.90290	1.90370	1.88950	1.89130	11814	0	40
2005.05.09	1.89070	1.89140	1.88050	1.88570	11805	0	40
2005.05.10	1.88540	1.88590	1.87620	1.88240	11910	0	40
2005.05.11	1.88240	1.89150	1.86950	1.87220	12693	0	40
2005.05.12	1.87190	1.87400	1.86020	1.86460	12711	0	40
2005.05.13	1.86410	1.86620	1.84820	1.84930	11896	0	40
2005.05.16	1.85060	1.85110	1.83310	1.83780	12089	0	40
2005.05.17	1.83790	1.84310	1.83200	1.83520	12637	0	40
2005.05.18	1.83520	1.84160	1.82920	1.83950	12407	0	40
2005.05.19	1.83950	1.84370	1.83210	1.83540	12386	0	40
2005.05.20	1.83530	1.83940	1.82330	1.82660	11545	0	40
2005.05.23	1.82500	1.83180	1.82400	1.82930	11209	0	40
2005.05.24	1.82920	1.83610	1.82600	1.82770	11931	0	40
2005.05.25	1.82770	1.83400	1.82470	1.83160	11939	0	40
2005.05.26	1.83160	1.83300	1.81870	1.82040	12087	0	40
2005.05.27	1.82030	1.82760	1.81980	1.82440	11021	0	40
2005.05.30	1.82410	1.82590	1.81950	1.82360	10413	0	40
2005.05.31	1.82320	1.82600	1.81030	1.81730	13270	0	40
2005.06.01	1.81730	1.82290	1.80760	1.81180	12799	0	40
2005.06.02	1.81160	1.82080	1.80820	1.81660	12613	0	40
2005.06.03	1.81620	1.82420	1.80970	1.81530	12275	0	40
2005.06.06	1.81310	1.82530	1.81260	1.82410	11810	0	40
2005.06.07	1.82410	1.83590	1.82040	1.83490	12184	0	40
2005.06.08	1.83500	1.84050	1.82210	1.82340	14888	0	40
2005.06.09	1.82330	1.82890	1.81730	1.82070	14620	0	40
2005.06.10	1.82080	1.82660	1.81070	1.81260	14310	0	40
2005.06.13	1.81180	1.81310	1.79990	1.80760	15318	0	40
2005.06.14	1.80760	1.81580	1.80300	1.80630	14212	0	40
2005.06.15	1.80640	1.82510	1.80450	1.82290	15178	0	40
2005.06.16	1.82310	1.82910	1.81680	1.82320	14899	0	40
2005.06.17	1.82310	1.83120	1.81890	1.83120	14462	0	40
2005.06.20	1.82400	1.82910	1.82100	1.82540	12397	0	40
2005.06.21	1.82550	1.83020	1.81640	1.82890	15234	0	40
2005.06.22	1.82880	1.83350	1.81770	1.82190	15180	0	40
2005.06.23	1.82200	1.82370	1.81370	1.81510	15011	0	40
2005.06.24	1.81520	1.82530	1.81200	1.82400	12937	0	40
2005.06.27	1.82310	1.83180	1.82200	1.82910	13230	0	40
2005.06.28	1.82910	1.83000	1.81420	1.81690	14042	0	40
2005.06.29	1.81660	1.81830	1.79940	1.80680	14507	0	40
2005.06.30	1.80680	1.81070	1.78710	1.79080	14935	0	40
2005.07.01	1.79050	1.79200	1.76670	1.76800	13303	0	40
2005.07.04	1.76030	1.76570	1.75690	1.75810	11258	0	40
2005.07.05	1.75830	1.76230	1.75040	1.75660	14521	0	40
2005.07.06	1.75640	1.76130	1.75170	1.75220	13849	0	40
2005.07.07	1.75250	1.75460	1.73990	1.74390	15525	0	40
2005.07.08	1.74390	1.74440	1.73100	1.73840	13666	0	40
2005.07.11	1.73690	1.75940	1.73580	1.75800	14718	0	40
2005.07.12	1.75770	1.77930	1.75500	1.77790	16299	0	40
2005.07.13	1.77800	1.77880	1.75260	1.76340	15149	0	40
2005.07.14	1.76360	1.76490	1.75440	1.75670	15097	0	40
2005.07.15	1.75670	1.76400	1.75060	1.75100	13356	0	40
2005.07.18	1.75020	1.75610	1.74530	1.74810	12586	0	40
2005.07.19	1.74820	1.74940	1.73400	1.73980	13785	0	40
2005.07.20	1.73990	1.74580	1.72710	1.74070	16058	0	40
2005.07.21	1.74070	1.76190	1.73980	1.75280	15072	0	40
2005.07.22	1.75280	1.75760	1.73570	1.74010	14926	0	40
2005.07.25	1.73780	1.74760	1.73310	1.74720	11328	0	40
2005.07.26	1.74720	1.74730	1.73480	1.73770	14064	0	40
2005.07.27	1.73770	1.74780	1.73340	1.74340	13810	0	40
2005.07.28	1.74350	1.75990	1.74040	1.75560	12226	0	40
2005.07.29	1.75560	1.76150	1.75150	1.75740	14400	0	40
2005.08.01	1.75560	1.77340	1.75400	1.76670	12822	0	40
2005.08.02	1.76680	1.77560	1.76660	1.77130	13721	0	40
2005.08.03	1.77140	1.78340	1.76500	1.77750	12085	0	40
