<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2005.01.03	0.71760	0.72060	0.71000	0.71330	6824	0	40
2005.01.04	0.71400	0.71570	0.70000	0.70240	8556	0	40
2005.01.05	0.70200	0.70390	0.69500	0.69920	8224	0	40
2005.01.06	0.69910	0.70160	0.69370	0.69890	7583	0	40
2005.01.07	0.69800	0.70580	0.69200	0.69430	7639	0	40
2005.01.10	0.69450	0.69720	0.69260	0.69450	7086	0	40
2005.01.11	0.69340	0.70150	0.69300	0.69840	7193	0	40
2005.01.12	0.69760	0.70930	0.69320	0.70630	6888	0	40
2005.01.13	0.70660	0.70790	0.70190	0.70370	7013	0	40
2005.01.14	0.70450	0.70480	0.69620	0.69940	7528	0	40
2005.01.17	0.69930	0.70110	0.69420	0.69530	6176	0	40
2005.01.18	0.69600	0.69880	0.69020	0.69640	7168	0	40
2005.01.19	0.69600	0.70640	0.69560	0.70150	6959	0	40
2005.01.20	0.70150	0.70640	0.70020	0.70420	8241	0	40
2005.01.21	0.70560	0.71530	0.70390	0.71460	7910	0	40
2005.01.24	0.71380	0.71660	0.71260	0.71430	6748	0	40
2005.01.25	0.71430	0.71690	0.70810	0.71050	7423	0	40
2005.01.26	0.71000	0.71950	0.71000	0.71490	7292	0	40
2005.01.27	0.71600	0.71880	0.71270	0.71590	7376	0	40
2005.01.28	0.71550	0.71770	0.70960	0.71160	6397	0	40
2005.01.31	0.71050	0.71480	0.70910	0.71080	6470	0	40
2005.02.01	0.71050	0.71330	0.70900	0.71230	6083	0	40
2005.02.02	0.71190	0.71500	0.71010	0.71420	6347	0	40
2005.02.03	0.71400	0.71510	0.70760	0.71020	6365	0	40
2005.02.04	0.71020	0.71580	0.70800	0.71080	6561	0	40
2005.02.07	0.70880	0.70920	0.69960	0.70080	7201	0	40
2005.02.08	0.70000	0.70220	0.69540	0.69870	7380	0	40
2005.02.09	0.69930	0.70530	0.69670	0.70430	7145	0	40
2005.02.10	0.70420	0.71260	0.70290	0.71040	7719	0	40
2005.02.11	0.71160	0.71510	0.70920	0.71320	7063	0	40
2005.02.14	0.71390	0.71810	0.71180	0.71480	7549	0	40
2005.02.15	0.71430	0.71760	0.71170	0.71570	7245	0	40
2005.02.16	0.71600	0.71620	0.70970	0.71370	7466	0	40
2005.02.17	0.71250	0.72000	0.71230	0.71850	6724	0	40
2005.02.18	0.71760	0.72500	0.71600	0.72320	7160	0	40
2005.02.21	0.72300	0.72840	0.72190	0.72530	6651	0	40
2005.02.22	0.72540	0.73070	0.72400	0.72730	7049	0	40
2005.02.23	0.72840	0.72890	0.72020	0.72130	8159	0	40
2005.02.24	0.72150	0.72550	0.71950	0.72110	7974	0	40
2005.02.25	0.72090	0.72400	0.71840	0.72270	7503	0	40
2005.02.28	0.72120	0.72980	0.72110	0.72590	7332	0	40
2005.03.01	0.72660	0.72800	0.72350	0.72670	7490	0	40
2005.03.02	0.72710	0.72740	0.72140	0.72710	8074	0	40
2005.03.03	0.72670	0.72970	0.72420	0.72640	6642	0	40
2005.03.04	0.72690	0.73680	0.72590	0.73290	6945	0	40
2005.03.07	0.73310	0.73600	0.73250	0.73490	5652	0	40
2005.03.08	0.73500	0.74070	0.73480	0.73970	6653	0	40
2005.03.09	0.74000	0.74170	0.73170	0.73890	8244	0	40
2005.03.10	0.73870	0.74500	0.73550	0.73790	8902	0	40
2005.03.11	0.73790	0.74160	0.73510	0.73960	7536	0	40
2005.03.14	0.73900	0.74220	0.73560	0.73730	5490	0	40
2005.03.15	0.73780	0.74460	0.73670	0.74070	7744	0	40
2005.03.16	0.74060	0.74690	0.73820	0.74500	7156	0	40
2005.03.17	0.74410	0.74520	0.74080	0.74280	7050	0	40
2005.03.18	0.74300	0.74540	0.73810	0.74460	6582	0	40
2005.03.21	0.74290	0.74320	0.73450	0.73470	7470	0	40
2005.03.22	0.73590	0.74090	0.72570	0.72740	8469	0	40
2005.03.23	0.73120	0.73150	0.71430	0.71730	8786	0	40
2005.03.24	0.71810	0.71970	0.71170	0.71270	7649	0	40
2005.03.25	0.71400	0.71540	0.71180	0.71410	4506	0	40
2005.03.28	0.71420	0.71470	0.70560	0.70790	6628	0	40
2005.03.29	0.70780	0.71300	0.70380	0.70940	7678	0	40
2005.03.30	0.70940	0.71280	0.70640	0.70790	7680	0	40
2005.03.31	0.70780	0.71530	0.70730	0.71190	8034	0	40
2005.04.01	0.71180	0.71630	0.70740	0.70890	8081	0	40
2005.04.04	0.70840	0.70970	0.70340	0.70690	7177	0	40
2005.04.05	0.70770	0.70960	0.70150	0.70820	7752	0	40
2005.04.06	0.70900	0.71370	0.70730	0.71210	7542	0	40
2005.04.07	0.71220	0.71800	0.70990	0.71170	7585	0	40
2005.04.08	0.71150	0.71880	0.71060	0.71650	6409	0	40
2005.04.11	0.71630	0.72220	0.71570	0.72100	6796	0	40
2005.04.12	0.72110	0.72370	0.71690	0.72140	7306	0	40
2005.04.13	0.72150	0.72590	0.72080	0.72400	7000	0	40
2005.04.14	0.72370	0.72690	0.71920	0.72020	7896	0	40
2005.04.15	0.72150	0.72180	0.71240	0.71540	7414	0	40
2005.04.18	0.71610	0.71880	0.71090	0.71830	7027	0	40
2005.04.19	0.71830	0.72530	0.71600	0.72410	7463	0	40
2005.04.20	0.72430	0.72900	0.72240	0.72730	7401	0	40
2005.04.21	0.72770	0.72960	0.72510	0.72640	7039	0	40
2005.04.22	0.72780	0.73340	0.72580	0.73240	6529	0	40
2005.04.25	0.73230	0.73370	0.72760	0.72770	6631	0	40
2005.04.26	0.72890	0.73010	0.72220	0.72320	7500	0	40
2005.04.27	0.72410	0.72500	0.71900	0.72360	7396	0	40
2005.04.28	0.72060	0.73030	0.72060	0.72790	7046	0	40
2005.04.29	0.72860	0.73500	0.72680	0.73020	6133	0	40
2005.05.02	0.73030	0.73150	0.72760	0.72940	4951	0	40
2005.05.03	0.73050	0.73130	0.72400	0.72660	7052	0	40
2005.05.04	0.72660	0.73460	0.72470	0.73390	7815	0	40
2005.05.05	0.73400	0.73790	0.73040	0.73500	7999	0	40
2005.05.06	0.73530	0.73650	0.73110	0.73170	7156	0	40
2005.05.09	0.73220	0.73300	0.72840	0.73030	6771	0	40
2005.05.10	0.73000	0.73300	0.72570	0.73200	7374	0	40
2005.05.11	0.73230	0.73410	0.72910	0.73030	7309	0	40
2005.05.12	0.72950	0.73110	0.71700	0.71800	8113	0	40
2005.05.13	0.71880	0.71950	0.70960	0.70960	7186	0	40
2005.05.16	0.71220	0.71270	0.70410	0.70750	7472	0	40
2005.05.17	0.70590	0.71090	0.70590	0.70680	7634	0	40
2005.05.18	0.70690	0.71500	0.70430	0.71310	8216	0	40
2005.05.19	0.71390	0.71430	0.70890	0.71000	7542	0	40
2005.05.20	0.71130	0.71400	0.70640	0.70830	7077	0	40
2005.05.23	0.70770	0.71200	0.70620	0.71040	6687	0	40
2005.05.24	0.71080	0.71520	0.71000	0.71210	7156	0	40
2005.05.25	0.71360	0.71480	0.71060	0.71440	7363	0	40
2005.05.26	0.71470	0.71700	0.70850	0.70940	7465	0	40
2005.05.27	0.70940	0.71580	0.70880	0.71550	6079	0	40
2005.05.30	0.71380	0.71500	0.71090	0.71160	5929	0	40
2005.05.31	0.71200	0.71240	0.70320	0.70480	8519	0	40
2005.06.01	0.70520	0.70660	0.69520	0.69850	8287	0	40
2005.06.02	0.69720	0.70190	0.69610	0.70080	7345	0	40
2005.06.03	0.70070	0.70520	0.69790	0.69880	7133	0	40
2005.06.06	0.69950	0.71000	0.69900	0.70860	7078	0	40
2005.06.07	0.70930	0.71620	0.70690	0.71480	7520	0	40
2005.06.08	0.71450	0.71750	0.70980	0.71300	8432	0	40
2005.06.09	0.71130	0.71650	0.70980	0.71230	7571	0	40
2005.06.10	0.71260	0.71360	0.70520	0.70570	7181	0	40
2005.06.13	0.70610	0.70900	0.70300	0.70550	7350	0	40
2005.06.14	0.70560	0.71200	0.70390	0.70720	7460	0	40
2005.06.15	0.70730	0.71410	0.70690	0.71350	7340	0	40
2005.06.16	0.71380	0.71780	0.71020	0.71400	7916	0	40
2005.06.17	0.71510	0.71860	0.71240	0.71640	7579	0	40
2005.06.20	0.71700	0.71940	0.71360	0.71570	7287	0	40
2005.06.21	0.71470	0.71860	0.71110	0.71640	7818	0	40
2005.06.22	0.71760	0.71790	0.71310	0.71690	7499	0	40
2005.06.23	0.71740	0.71750	0.70600	0.70710	8569	0	40
2005.06.24	0.70640	0.71210	0.70310	0.70410	8256	0	40
2005.06.27	0.70540	0.70990	0.70460	0.70770	7337	0	40
2005.06.28	0.70850	0.70880	0.69950	0.70200	8119	0	40
2005.06.29	0.70000	0.70240	0.69670	0.70010	7684	0	40
2005.06.30	0.69980	0.70150	0.69270	0.69700	8392	0	40
2005.07.01	0.69740	0.69820	0.68050	0.68330	8964	0	40
2005.07.04	0.68400	0.68450	0.67750	0.67940	6507	0	40
2005.07.05	0.68020	0.68040	0.67330	0.67620	8419	0	40
2005.07.06	0.67610	0.67880	0.67120	0.67300	7844	0	40
2005.07.07	0.67330	0.68080	0.66910	0.67290	8730	0	40
2005.07.08	0.67330	0.67500	0.66840	0.67330	7841	0	40
2005.07.11	0.67460	0.68050	0.67340	0.67880	7363	0	40
2005.07.12	0.67830	0.68750	0.67790	0.68590	8219	0	40
