<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2005.01.03	1.20160	1.21280	1.19980	1.20800	9351	0	40
2005.01.04	1.20790	1.22750	1.20580	1.22270	10098	0	40
2005.01.05	1.22270	1.23300	1.22100	1.22590	10308	0	40
2005.01.06	1.22600	1.23990	1.22380	1.23580	9826	0	40
2005.01.07	1.23560	1.23850	1.22250	1.23270	10348	0	40
2005.01.10	1.23350	1.23400	1.21830	1.22280	9407	0	40
2005.01.11	1.22270	1.22390	1.21390	1.21900	9545	0	40
2005.01.12	1.21900	1.22160	1.19470	1.20150	10184	0	40
2005.01.13	1.20150	1.20600	1.19910	1.20260	9077	0	40
2005.01.14	1.20260	1.22160	1.20200	1.21690	10890	0	40
2005.01.17	1.21740	1.21980	1.21200	1.21940	7747	0	40
2005.01.18	1.21810	1.22640	1.21770	1.22470	10539	0	40
2005.01.19	1.22490	1.23120	1.21670	1.22730	9292	0	40
2005.01.20	1.22740	1.23670	1.22710	1.23330	10664	0	40
2005.01.21	1.23330	1.23540	1.21830	1.22230	9408	0	40
2005.01.24	1.22180	1.22700	1.21410	1.22510	8851	0	40
2005.01.25	1.22510	1.24100	1.22150	1.23610	9693	0	40
2005.01.26	1.23610	1.23900	1.22770	1.23280	9703	0	40
2005.01.27	1.23280	1.24330	1.23120	1.23750	9929	0	40
2005.01.28	1.23790	1.24700	1.23720	1.23960	9050	0	40
2005.01.31	1.24060	1.24500	1.23590	1.24040	9259	0	40
2005.02.01	1.24110	1.24400	1.23450	1.23710	8882	0	40
2005.02.02	1.23690	1.24180	1.23080	1.23860	8980	0	40
2005.02.03	1.23840	1.24620	1.23750	1.24110	8917	0	40
2005.02.04	1.24110	1.25050	1.23700	1.24930	9085	0	40
2005.02.07	1.24930	1.25860	1.24870	1.25710	8609	0	40
2005.02.08	1.25700	1.25760	1.24510	1.24790	9318	0	40
2005.02.09	1.24710	1.25260	1.24600	1.24750	9386	0	40
2005.02.10	1.24740	1.25620	1.23870	1.24170	9924	0	40
2005.02.11	1.24120	1.24370	1.23560	1.23660	7794	0	40
2005.02.14	1.23580	1.23910	1.22900	1.23250	9462	0	40
2005.02.15	1.23210	1.23720	1.22840	1.23090	9321	0	40
2005.02.16	1.23090	1.24540	1.22910	1.23710	10232	0	40
2005.02.17	1.23710	1.23820	1.22600	1.22900	9286	0	40
2005.02.18	1.22910	1.23380	1.22830	1.23170	8853	0	40
2005.02.21	1.23180	1.23650	1.22780	1.23350	6762	0	40
2005.02.22	1.23350	1.23550	1.22330	1.22620	9264	0	40
2005.02.23	1.22650	1.24990	1.22550	1.24850	9720	0	40
2005.02.24	1.24880	1.25000	1.23770	1.23920	10720	0	40
2005.02.25	1.23930	1.24570	1.23770	1.23920	9230	0	40
2005.02.28	1.23930	1.23930	1.22750	1.23540	9596	0	40
2005.03.01	1.23530	1.24510	1.23280	1.23990	9627	0	40
2005.03.02	1.23960	1.24630	1.23740	1.23950	9547	0	40
2005.03.03	1.23960	1.24950	1.23790	1.24390	8697	0	40
2005.03.04	1.24400	1.24570	1.22880	1.23130	8807	0	40
2005.03.07	1.23150	1.23530	1.22680	1.22840	7444	0	40
2005.03.08	1.22840	1.23030	1.21230	1.21250	9531	0	40
2005.03.09	1.21280	1.21440	1.19960	1.20680	9991	0	40
2005.03.10	1.20690	1.20770	1.19930	1.20350	9988	0	40
2005.03.11	1.20370	1.21200	1.20170	1.20540	9632	0	40
2005.03.14	1.20340	1.21000	1.20310	1.20770	7862	0	40
2005.03.15	1.20760	1.20900	1.19760	1.20710	9363	0	40
2005.03.16	1.20710	1.20810	1.19960	1.20530	9188	0	40
2005.03.17	1.20510	1.20970	1.19780	1.20190	9552	0	40
2005.03.18	1.20180	1.20820	1.19990	1.20180	9048	0	40
2005.03.21	1.20300	1.21420	1.20230	1.21130	9420	0	40
2005.03.22	1.21120	1.21280	1.19840	1.20850	9301	0	40
2005.03.23	1.20830	1.21830	1.20740	1.21510	9661	0	40
