<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2005.01.03	1.13940	1.15570	1.13690	1.14800	10387	0	50
2005.01.04	1.14840	1.17140	1.14430	1.16870	10553	0	50
2005.01.05	1.16880	1.17610	1.16460	1.16740	11178	0	50
2005.01.06	1.16740	1.17810	1.16630	1.17390	10258	0	50
2005.01.07	1.17400	1.18930	1.16730	1.18500	10486	0	50
2005.01.10	1.18510	1.18570	1.17860	1.18060	9792	0	50
2005.01.11	1.18040	1.18420	1.17310	1.18180	10075	0	50
2005.01.12	1.18200	1.18430	1.16270	1.16870	9618	0	50
2005.01.13	1.16890	1.17470	1.16650	1.17200	9552	0	50
2005.01.14	1.17210	1.18730	1.17160	1.18000	10674	0	50
2005.01.17	1.18030	1.18520	1.17720	1.18490	8449	0	50
2005.01.18	1.18470	1.19080	1.18040	1.18560	10228	0	50
2005.01.19	1.18550	1.19020	1.17480	1.18500	10140	0	50
2005.01.20	1.18490	1.19270	1.18320	1.19060	10476	0	50
2005.01.21	1.19050	1.19710	1.18360	1.18510	10136	0	50
2005.01.24	1.18560	1.18730	1.17860	1.18470	9974	0	50
2005.01.25	1.18460	1.19750	1.18060	1.19300	9908	0	50
2005.01.26	1.19310	1.19440	1.18020	1.18410	9904	0	50
2005.01.27	1.18440	1.18860	1.17790	1.18460	9833	0	50
2005.01.28	1.18480	1.19250	1.18200	1.18530	9889	0	50
2005.01.31	1.19030	1.19460	1.18540	1.18820	9348	0	50
2005.02.01	1.18830	1.19590	1.18730	1.19170	9429	0	50
2005.02.02	1.19140	1.19640	1.18550	1.19210	9586	0	50
2005.02.03	1.19220	1.20540	1.19190	1.20210	9620	0	50
2005.02.04	1.20250	1.21220	1.19500	1.21160	9981	0	50
2005.02.07	1.21270	1.22640	1.21130	1.22530	9846	0	50
2005.02.08	1.22530	1.22550	1.21820	1.22190	9637	0	50
2005.02.09	1.22210	1.22380	1.21510	1.21620	9409	0	50
2005.02.10	1.21620	1.22450	1.20360	1.20840	10199	0	50
2005.02.11	1.20840	1.21240	1.20600	1.21080	9078	0	50
2005.02.14	1.20860	1.20980	1.19600	1.19860	9616	0	50
2005.02.15	1.19870	1.20030	1.18770	1.18970	9744	0	50
2005.02.16	1.18960	1.19480	1.18330	1.18790	10284	0	50
2005.02.17	1.18800	1.18980	1.18050	1.18340	9646	0	50
2005.02.18	1.18340	1.18990	1.18190	1.18320	8535	0	50
2005.02.21	1.18440	1.18650	1.18050	1.18290	7665	0	50
2005.02.22	1.18320	1.18430	1.15690	1.15900	10295	0	50
2005.02.23	1.15910	1.16710	1.15760	1.16430	9650	0	50
2005.02.24	1.16450	1.17220	1.15920	1.16950	9900	0	50
2005.02.25	1.16970	1.17440	1.16110	1.16240	9740	0	50
2005.02.28	1.16260	1.16440	1.15780	1.16420	9353	0	50
2005.03.01	1.16450	1.16890	1.16040	1.16580	9552	0	50
2005.03.02	1.16560	1.17790	1.16500	1.17340	9665	0	50
2005.03.03	1.17340	1.18280	1.17300	1.18110	9078	0	50
2005.03.04	1.18120	1.18240	1.16620	1.16960	9250	0	50
2005.03.07	1.16950	1.17820	1.16820	1.17430	8756	0	50
2005.03.08	1.17440	1.17590	1.15830	1.16100	8986	0	50
2005.03.09	1.16110	1.16490	1.15520	1.15850	9579	0	50
2005.03.10	1.15860	1.16110	1.15140	1.15360	9915	0	50
2005.03.11	1.15350	1.15720	1.14880	1.15020	9358	0	50
2005.03.14	1.14980	1.16410	1.14830	1.15970	9415	0	50
2005.03.15	1.15970	1.16750	1.15600	1.16550	9384	0	50
2005.03.16	1.16540	1.16690	1.15020	1.15250	9733	0	50
2005.03.17	1.15260	1.16000	1.15220	1.15780	9310	0	50
2005.03.18	1.15770	1.16910	1.15650	1.16380	9044	0	50
2005.03.21	1.16480	1.18100	1.16410	1.17870	9252	0	50
2005.03.22	1.17880	1.19230	1.17430	1.18810	9825	0	50
2005.03.23	1.18810	1.19940	1.18760	1.19590	10100	0	50
2005.03.24	1.19590	1.20200	1.19170	1.20100	9525	0	50
2005.03.25	1.20110	1.20320	1.19820	1.19970	6959	0	50
2005.03.28	1.19950	1.20870	1.19790	1.20380	9380	0	50
2005.03.29	1.20390	1.20590	1.19760	1.20160	9747	0	50
2005.03.30	1.20190	1.20210	1.19240	1.20000	9825	0	50
2005.03.31	1.20020	1.20080	1.18910	1.19640	9702	0	50
2005.04.01	1.19660	1.20800	1.18800	1.20310	9944	0	50
2005.04.04	1.20520	1.21300	1.20280	1.20900	8922	0	50
2005.04.05	1.20880	1.21480	1.20390	1.20690	9435	0	50
2005.04.06	1.20700	1.20870	1.20090	1.20570	9446	0	50
2005.04.07	1.20550	1.20840	1.19740	1.20750	9832	0	50
2005.04.08	1.20750	1.21180	1.19660	1.19860	9351	0	50
2005.04.11	1.19710	1.20010	1.18970	1.19370	9430	0	50
2005.04.12	1.19370	1.20480	1.18990	1.19930	9779	0	50
2005.04.13	1.19940	1.20770	1.19460	1.19940	9836	0	50
2005.04.14	1.19950	1.21980	1.19910	1.21500	9972	0	50
2005.04.15	1.21520	1.21700	1.19880	1.20040	10262	0	50
2005.04.18	1.20040	1.20450	1.18460	1.18690	10468	0	50
2005.04.19	1.18710	1.19100	1.17920	1.18140	11501	0	50
2005.04.20	1.18140	1.18940	1.17600	1.17740	11864	0	50
2005.04.21	1.17730	1.18590	1.17390	1.18270	12204	0	50
2005.04.22	1.18290	1.18580	1.17790	1.18070	10736	0	50
2005.04.25	1.18150	1.19230	1.18070	1.18840	11562	0	50
2005.04.26	1.18820	1.19160	1.18550	1.18610	11142	0	50
2005.04.27	1.18610	1.19670	1.18550	1.19320	11584	0	50
2005.04.28	1.19340	1.19580	1.18860	1.19250	11486	0	50
2005.04.29	1.19250	1.19810	1.18380	1.19530	11112	0	50
2005.05.02	1.19630	1.20150	1.19550	1.19840	10092	0	50
2005.05.03	1.19880	1.20200	1.19440	1.19880	10909	0	50
2005.05.04	1.19870	1.19910	1.18800	1.19130	11816	0	50
2005.05.05	1.19120	1.19800	1.18900	1.19320	11318	0	50
2005.05.06	1.19360	1.20890	1.19310	1.20720	10886	0	50
2005.05.09	1.20750	1.20980	1.20230	1.20360	11109	0	50
2005.05.10	1.20390	1.20730	1.19920	1.20070	11287	0	50
2005.05.11	1.20090	1.21020	1.19600	1.20630	12102	0	50
2005.05.12	1.20640	1.21870	1.20520	1.21710	12214	0	50
2005.05.13	1.21700	1.22630	1.21560	1.22560	11067	0	50
2005.05.16	1.22490	1.22930	1.22090	1.22300	11473	0	50
2005.05.17	1.22300	1.22730	1.21930	1.22470	11476	0	50
2005.05.18	1.22480	1.22730	1.21620	1.21840	11907	0	50
2005.05.19	1.21830	1.22620	1.21480	1.22200	11507	0	50
2005.05.20	1.22200	1.23630	1.22070	1.23290	11134	0	50
2005.05.23	1.23500	1.23530	1.22820	1.23170	10791	0	50
