<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2005.01.03	6.800	6.820	6.440	6.480	1279	0	0
2005.01.04	6.490	6.510	6.310	6.420	1035	0	0
2005.01.05	6.420	6.580	6.360	6.500	855	0	0
2005.01.06	6.510	6.550	6.370	6.430	884	0	0
2005.01.07	6.420	6.580	6.350	6.420	963	0	0
2005.01.10	6.430	6.610	6.380	6.440	673	0	0
2005.01.11	6.430	6.670	6.420	6.610	842	0	0
2005.01.12	6.610	6.750	6.560	6.700	820	0	0
2005.01.13	6.700	6.820	6.640	6.730	788	0	0
2005.01.14	6.740	6.760	6.550	6.570	815	0	0
2005.01.17	6.570	6.640	6.560	6.600	61	0	0
2005.01.18	6.590	6.670	6.530	6.640	524	0	0
2005.01.19	6.630	6.740	6.500	6.590	758	0	0
2005.01.20	6.580	6.630	6.440	6.550	619	0	0
2005.01.21	6.550	6.860	6.520	6.790	961	0	0
2005.01.24	6.790	6.890	6.760	6.820	630	0	0
2005.01.25	6.830	6.850	6.640	6.690	734	0	0
2005.01.26	6.690	6.840	6.680	6.780	704	0	0
2005.01.27	6.770	6.830	6.690	6.800	630	0	0
2005.01.28	6.800	6.870	6.710	6.780	703	0	0
2005.01.31	6.780	6.830	6.590	6.720	777	0	0
2005.02.01	6.730	6.790	6.650	6.710	580	0	0
2005.02.02	6.700	6.820	6.690	6.760	657	0	0
2005.02.03	6.750	6.780	6.560	6.660	779	0	0
2005.02.04	6.670	6.710	6.570	6.620	733	0	0
2005.02.07	6.610	6.700	6.510	6.520	731	0	0
2005.02.08	6.520	6.600	6.460	6.530	684	0	0
2005.02.09	6.520	6.620	6.470	6.590	668	0	0
2005.02.10	6.600	6.970	6.540	6.940	748	0	0
2005.02.11	6.950	7.240	6.920	7.180	1090	0	0
2005.02.14	7.180	7.340	7.160	7.270	757	0	0
2005.02.15	7.260	7.410	7.180	7.310	792	0	0
2005.02.16	7.300	7.350	7.090	7.210	1122	0	0
2005.02.17	7.220	7.430	7.150	7.340	553	0	0
2005.02.18	7.350	7.450	7.300	7.400	385	0	0
2005.02.21	7.390	7.420	7.340	7.390	64	0	0
2005.02.22	7.380	7.670	7.350	7.520	632	0	0
2005.02.23	7.540	7.560	7.260	7.410	806	0	0
2005.02.24	7.420	7.500	7.260	7.350	532	0	0
2005.02.25	7.340	7.370	7.190	7.300	488	0	0
2005.02.28	7.310	7.460	7.250	7.300	755	0	0
2005.03.01	7.290	7.350	7.140	7.210	743	0	0
2005.03.02	7.210	7.350	7.060	7.300	804	0	0
2005.03.03	7.300	7.370	7.170	7.210	649	0	0
2005.03.04	7.210	7.470	7.130	7.330	882	0	0
2005.03.08	7.390	7.520	7.380	7.490	10	0	0
2005.03.09	7.500	7.650	7.400	7.570	865	0	0
2005.03.10	7.560	7.630	7.440	7.490	685	0	0
2005.03.11	7.490	7.590	7.370	7.520	865	0	0
2005.03.14	7.520	7.540	7.320	7.370	716	0	0
2005.03.15	7.360	7.510	7.250	7.360	803	0	0
2005.03.16	7.370	7.460	7.340	7.410	557	0	0
2005.03.17	7.420	7.470	7.300	7.370	563	0	0
2005.03.18	7.380	7.400	7.240	7.370	685	0	0
2005.03.21	7.360	7.470	7.030	7.090	775	0	0
2005.03.22	7.090	7.160	6.890	6.930	776	0	0
2005.03.23	6.930	7.060	6.860	6.950	1055	0	0
2005.03.24	6.940	7.010	6.870	6.910	650	0	0
2005.03.25	6.940	6.980	6.920	6.930	12	0	0
2005.03.28	6.920	6.960	6.800	6.890	607	0	0
2005.03.29	6.880	7.020	6.860	6.970	523	0	0
2005.03.30	6.980	7.160	6.940	7.110	765	0	0
2005.03.31	7.120	7.220	7.070	7.130	630	0	0
2005.04.01	7.120	7.180	6.920	6.970	930	0	0
2005.04.04	6.990	7.010	6.890	7.010	524	0	0
2005.04.05	7.020	7.090	6.920	7.050	427	0	0
2005.04.06	7.040	7.150	7.000	7.080	606	0	0
2005.04.07	7.090	7.170	7.010	7.040	517	0	0
2005.04.08	7.020	7.180	6.990	7.130	568	0	0
2005.04.11	7.140	7.290	7.100	7.220	673	0	0
2005.04.12	7.230	7.310	7.070	7.150	721	0	0
2005.04.13	7.160	7.270	7.060	7.190	648	0	0
2005.04.14	7.200	7.220	6.980	7.020	693	0	0
2005.04.15	7.020	7.090	6.960	7.010	684	0	0
2005.04.18	7.010	7.090	6.920	7.020	658	0	0
2005.04.19	7.020	7.270	7.000	7.230	937	0	0
2005.04.20	7.220	7.360	7.170	7.310	769	0	0
2005.04.21	7.300	7.350	7.160	7.200	819	0	0
2005.04.22	7.200	7.330	7.180	7.260	540	0	0
2005.04.25	7.270	7.290	7.170	7.250	464	0	0
2005.04.26	7.250	7.320	7.190	7.240	426	0	0
2005.04.27	7.230	7.270	7.060	7.090	638	0	0
2005.04.28	7.100	7.170	6.860	6.930	1058	0	0
2005.04.29	6.940	7.030	6.850	6.900	880	0	0
2005.05.02	6.910	6.980	6.760	6.830	680	0	0
2005.05.03	6.840	6.920	6.770	6.880	669	0	0
2005.05.04	6.890	7.030	6.870	7.000	644	0	0
2005.05.05	7.010	7.100	6.950	7.040	787	0	0
2005.05.06	7.050	7.130	6.870	6.920	828	0	0
2005.05.09	6.930	7.120	6.900	7.060	633	0	0
2005.05.10	7.060	7.160	7.010	7.090	685	0	0
2005.05.11	7.080	7.130	6.970	7.050	721	0	0
2005.05.12	7.060	7.080	6.900	6.920	849	0	0
2005.05.13	6.930	6.970	6.850	6.910	677	0	0
2005.05.16	6.920	6.990	6.850	6.940	608	0	0
2005.05.17	6.950	7.080	6.930	7.020	651	0	0
2005.05.18	7.020	7.220	6.990	7.180	744	0	0
2005.05.19	7.190	7.230	7.080	7.100	650	0	0
2005.05.20	7.110	7.150	6.910	6.930	624	0	0
2005.05.23	6.930	7.020	6.900	6.960	627	0	0
2005.05.24	6.950	7.100	6.930	7.000	593	0	0
2005.05.25	6.990	7.230	6.960	7.170	698	0	0
2005.05.26	7.180	7.290	7.010	7.120	760	0	0
2005.05.27	7.120	7.310	7.080	7.240	737	0	0
2005.05.30	7.230	7.290	7.210	7.220	127	0	0
2005.05.31	7.180	7.480	7.110	7.410	42	0	0
2005.06.01	7.400	7.590	7.360	7.450	976	0	0
2005.06.02	7.440	7.610	7.420	7.490	743	0	0
2005.06.03	7.500	7.600	7.440	7.450	855	0	0
2005.06.06	7.440	7.630	7.420	7.490	700	0	0
2005.06.07	7.500	7.560	7.380	7.400	685	0	0
2005.06.08	7.410	7.520	7.370	7.400	713	0	0
2005.06.09	7.390	7.450	7.170	7.260	1355	0	0
2005.06.10	7.270	7.290	7.110	7.260	1140	0	0
2005.06.13	7.250	7.330	7.140	7.240	800	0	0
2005.06.14	7.230	7.310	7.200	7.240	787	0	0
2005.06.15	7.250	7.400	7.230	7.300	638	0	0
2005.06.16	7.310	7.440	7.280	7.340	1033	0	0
2005.06.17	7.350	7.440	7.280	7.320	1116	0	0
2005.06.20	7.310	7.470	7.230	7.270	1013	0	0
2005.06.21	7.270	7.320	7.140	7.270	999	0	0
2005.06.22	7.270	7.330	7.180	7.250	777	0	0
2005.06.23	7.250	7.330	7.170	7.260	906	0	0
2005.06.24	7.250	7.340	7.210	7.270	726	0	0
2005.06.27	7.270	7.290	7.190	7.210	546	0	0
2005.06.28	7.210	7.250	7.040	7.070	760	0	0
2005.06.29	7.070	7.110	6.990	7.080	1085	0	0
2005.06.30	7.070	7.160	6.970	7.040	1348	0	0
2005.07.01	7.050	7.070	6.800	6.850	1193	0	0
2005.07.04	6.850	6.910	6.810	6.910	394	0	0
2005.07.05	6.910	6.940	6.810	6.830	942	0	0
2005.07.06	6.880	6.990	6.850	6.920	846	0	0
2005.07.07	6.920	7.070	6.910	6.950	1241	0	0
2005.07.08	6.950	7.060	6.890	6.990	814	0	0
2005.07.11	6.990	7.120	6.980	7.090	841	0	0
2005.07.12	7.080	7.170	6.990	7.050	1079	0	0
2005.07.13	7.060	7.110	7.000	7.010	776	0	0
2005.07.14	7.020	7.110	6.910	6.960	1293	0	0
2005.07.15	6.970	7.040	6.920	6.970	916	0	0
2005.07.18	6.960	7.040	6.940	7.000	712	0	0
2005.07.19	6.990	7.040	6.910	6.950	844	0	0
2005.07.20	6.950	7.080	6.940	7.080	1176	0	0
2005.07.21	7.090	7.200	7.050	7.090	1177	0	0
2005.07.22	7.120	7.170	7.040	7.080	781	0	0
2005.07.25	7.080	7.140	7.050	7.100	592	0	0
2005.07.26	7.090	7.130	6.960	6.990	774	0	0
2005.07.27	7.000	7.070	6.920	7.040	944	0	0
2005.07.28	7.050	7.220	7.010	7.170	1091	0	0
2005.07.29	7.180	7.260	7.110	7.200	1344	0	0
2005.08.01	7.220	7.320	7.200	7.270	818	0	0
2005.08.02	7.270	7.320	7.200	7.240	714	0	0
2005.08.03	7.230	7.330	7.200	7.270	860	0	0
2005.08.04	7.260	7.290	7.150	7.220	896	0	0
2005.08.05	7.210	7.270	7.110	7.130	910	0	0
2005.08.08	7.140	7.180	6.960	7.010	999	0	0
2005.08.09	7.010	7.010	6.870	7.010	213	0	0
2005.08.10	7.030	7.070	7.030	7.070	10	0	0
2005.08.11	7.080	7.150	7.080	7.150	6	0	0
2005.08.12	7.170	7.240	7.060	7.070	16	0	0
2005.08.15	7.090	7.130	6.900	6.980	1337	0	0
2005.08.16	6.970	7.070	6.920	7.020	1100	0	0
2005.08.17	7.020	7.060	6.930	6.980	1245	0	0
2005.08.18	6.990	7.040	6.860	7.000	1319	0	0
2005.08.19	7.000	7.040	6.940	7.010	1113	0	0
2005.08.22	7.000	7.120	6.950	7.050	1033	0	0
2005.08.23	7.040	7.110	6.930	6.960	1377	0	0
2005.08.24	6.970	7.040	6.860	6.920	1746	0	0
2005.08.25	6.930	6.990	6.780	6.830	1547	0	0
2005.08.26	6.840	6.900	6.670	6.730	1639	0	0
2005.08.29	6.730	6.820	6.700	6.740	1254	0	0
2005.08.30	6.740	6.770	6.620	6.740	1340	0	0
2005.08.31	6.730	6.850	6.670	6.820	1603	0	0
2005.09.01	6.820	7.020	6.780	6.960	1909	0	0
2005.09.02	6.960	7.070	6.850	7.010	90	0	0
2005.09.05	7.020	7.100	6.990	7.050	690	0	0
2005.09.06	7.060	7.090	6.960	7.010	2277	0	0
2005.09.07	7.030	7.090	7.000	7.050	864	0	0
2005.09.08	7.040	7.110	6.940	6.960	1017	0	0
2005.09.09	6.970	7.040	6.930	7.010	648	0	0
2005.09.12	7.000	7.060	6.940	7.010	693	0	0
2005.09.13	7.000	7.030	6.850	6.940	948	0	0
2005.09.14	6.950	7.040	6.930	6.980	838	0	0
2005.09.15	7.000	7.080	6.920	7.060	1295	0	0
2005.09.16	7.050	7.250	7.030	7.220	1676	0	0
2005.09.19	7.230	7.440	7.190	7.290	1626	0	0
2005.09.20	7.280	7.400	7.250	7.300	2696	0	0
2005.09.21	7.310	7.420	7.240	7.410	2184	0	0
2005.09.22	7.400	7.450	7.280	7.320	1466	0	0
2005.09.23	7.340	7.360	7.200	7.260	1095	0	0
2005.09.26	7.250	7.340	7.170	7.310	1334	0	0
2005.09.27	7.320	7.330	7.160	7.260	1295	0	0
2005.09.28	7.280	7.380	7.230	7.330	1294	0	0
2005.09.29	7.340	7.510	7.320	7.470	1601	0	0
2005.09.30	7.460	7.590	7.420	7.450	1529	0	0
2005.10.03	7.440	7.450	7.330	7.380	1330	0	0
2005.10.04	7.400	7.480	7.330	7.350	1350	0	0
2005.10.05	7.360	7.430	7.290	7.390	1174	0	0
2005.10.06	7.380	7.580	7.360	7.540	1435	0	0
2005.10.07	7.550	7.730	7.530	7.710	1693	0	0
2005.10.10	7.700	7.840	7.680	7.780	1219	0	0
2005.10.11	7.760	7.890	7.710	7.790	1349	0	0
2005.10.12	7.780	7.870	7.670	7.710	1778	0	0
2005.10.13	7.720	7.760	7.620	7.680	1551	0	0
2005.10.14	7.690	7.840	7.570	7.800	1633	0	0
2005.10.17	7.790	7.870	7.760	7.780	1347	0	0
2005.10.18	7.760	7.830	7.720	7.760	1023	0	0
2005.10.19	7.750	7.760	7.550	7.590	1750	0	0
2005.10.20	7.600	7.650	7.470	7.610	1594	0	0
2005.10.21	7.600	7.650	7.510	7.640	1575	0	0
2005.10.24	7.620	7.710	7.580	7.650	1176	0	0
2005.10.25	7.660	7.820	7.630	7.780	1365	0	0
2005.10.26	7.760	7.880	7.750	7.760	1440	0	0
2005.10.27	7.780	7.900	7.750	7.800	1427	0	0
2005.10.28	7.790	7.820	7.670	7.780	1550	0	0
2005.10.31	7.740	7.800	7.510	7.550	1622	0	0
2005.11.01	7.560	7.580	7.360	7.430	2379	0	0
2005.11.02	7.420	7.530	7.380	7.510	1146	0	0
2005.11.03	7.530	7.590	7.460	7.560	1171	0	0
2005.11.04	7.510	7.660	7.430	7.530	1389	0	0
2005.11.07	7.510	7.600	7.410	7.580	1062	0	0
2005.11.08	7.570	7.640	7.490	7.610	1384	0	0
2005.11.09	7.600	7.700	7.590	7.660	1434	0	0
2005.11.10	7.670	7.750	7.630	7.670	1392	0	0
2005.11.11	7.680	7.750	7.640	7.740	1164	0	0
2005.11.14	7.720	7.820	7.690	7.710	1008	0	0
2005.11.15	7.700	7.810	7.660	7.750	1345	0	0
2005.11.16	7.760	8.010	7.740	8.010	1563	0	0
2005.11.17	8.050	8.100	7.970	8.060	1302	0	0
2005.11.18	8.050	8.150	8.010	8.010	999	0	0
2005.11.21	8.000	8.150	8.000	8.100	746	0	0
2005.11.22	8.130	8.210	8.060	8.170	1472	0	0
2005.11.23	8.150	8.180	8.010	8.100	879	0	0
2005.11.24	8.090	8.180	8.090	8.140	349	0	0
2005.11.25	8.150	8.220	8.130	8.180	715	0	0
2005.11.28	8.170	8.350	8.140	8.330	1077	0	0
2005.11.29	8.340	8.350	8.230	8.260	869	0	0
2005.11.30	8.300	8.300	8.170	8.230	1113	0	0
2005.12.01	8.250	8.510	8.180	8.500	1402	0	0
2005.12.02	8.490	8.600	8.430	8.510	957	0	0
2005.12.05	8.550	8.640	8.510	8.630	1090	0	0
2005.12.06	8.640	8.750	8.490	8.680	1237	0	0
2005.12.07	8.670	8.850	8.670	8.810	1194	0	0
2005.12.08	8.760	8.930	8.680	8.930	266	0	0
2005.12.09	8.920	9.010	8.890	8.990	284	0	0
2005.12.12	8.980	9.220	8.600	8.750	571	0	0
2005.12.13	8.710	8.840	8.430	8.470	580	0	0
2005.12.14	8.460	8.510	8.330	8.350	506	0	0
2005.12.15	8.380	8.600	8.260	8.510	437	0	0
2005.12.16	8.500	8.640	8.400	8.510	363	0	0
2005.12.19	8.500	8.660	8.430	8.510	378	0	0
2005.12.20	8.560	8.600	8.220	8.240	510	0	0
2005.12.21	8.230	8.410	8.180	8.380	439	0	0
2005.12.22	8.350	8.510	8.340	8.510	478	0	0
2005.12.23	8.480	8.600	8.470	8.560	274	0	0
2005.12.26	8.550	8.560	8.550	8.560	4	0	0
2005.12.27	8.570	8.740	8.560	8.720	145	0	0
2005.12.28	8.730	8.930	8.680	8.890	375	0	0
2005.12.29	8.830	8.920	8.640	8.830	255	0	0
2005.12.30	8.810	8.890	8.720	8.800	139	0	0
2006.01.02	8.780	8.840	8.780	8.830	4	0	0
2006.01.03	8.900	9.180	8.880	9.160	962	0	0
2006.01.04	9.170	9.220	8.920	9.100	1509	0	0
2006.01.05	9.080	9.090	8.680	8.740	1045	0	0
2006.01.06	8.730	9.100	8.680	9.090	1355	0	0
2006.01.09	9.100	9.240	8.930	9.150	1532	0	0
2006.01.10	9.160	9.240	8.830	8.890	1504	0	0
2006.01.11	8.910	9.050	8.760	9.000	1090	0	0
2006.01.12	8.990	9.050	8.850	8.960	1180	0	0
2006.01.13	8.930	9.180	8.900	9.100	1104	0	0
2006.01.16	9.090	9.260	9.090	9.250	95	0	0
2006.01.17	9.240	9.260	8.960	9.000	974	0	0
2006.01.18	9.010	9.060	8.720	8.800	1493	0	0
2006.01.19	8.810	9.090	8.740	9.010	1414	0	0
2006.01.20	9.060	9.220	8.760	8.850	1537	0	0
2006.01.23	8.840	9.010	8.840	9.010	1044	0	0
2006.01.24	9.050	9.180	8.880	9.180	1436	0	0
2006.01.25	9.160	9.490	9.160	9.470	1390	0	0
2006.01.26	9.460	9.600	9.380	9.510	1664	0	0
2006.01.27	9.590	9.760	9.500	9.570	1630	0	0
2006.01.30	9.510	9.830	9.510	9.830	673	0	0
2006.01.31	9.820	9.920	9.750	9.850	757	0	0
2006.02.01	9.830	9.850	9.640	9.750	529	0	0
2006.02.02	9.760	9.920	9.680	9.830	835	0	0
2006.02.03	9.840	9.880	9.660	9.730	1060	0	0
