<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2005.01.03	438.30	438.80	426.70	429.00	1372	0	0
2005.01.04	429.60	430.50	423.70	427.30	1669	0	0
2005.01.05	427.10	429.00	424.80	426.60	1424	0	0
2005.01.06	426.80	428.10	420.00	421.30	1241	0	0
2005.01.07	421.10	425.50	416.50	418.60	1577	0	0
2005.01.10	419.60	422.30	418.30	419.30	1182	0	0
2005.01.11	420.10	423.30	419.00	421.80	1939	0	0
2005.01.12	421.50	428.30	420.10	425.80	2505	0	0
2005.01.13	426.00	427.50	422.70	425.00	1749	0	0
2005.01.14	425.10	426.20	420.10	422.60	1853	0	0
2005.01.17	423.00	423.60	421.00	421.20	136	0	0
2005.01.18	421.80	424.30	420.80	422.50	835	0	0
2005.01.19	422.80	427.60	421.50	423.10	2110	0	0
2005.01.20	423.30	423.80	419.60	422.20	1753	0	0
2005.01.21	422.30	428.80	420.60	427.20	2173	0	0
2005.01.24	426.10	428.60	426.00	427.30	1236	0	0
2005.01.25	427.20	428.30	420.30	422.10	2281	0	0
2005.01.26	422.00	428.20	420.80	426.60	1943	0	0
2005.01.27	426.50	428.60	423.60	426.30	1690	0	0
2005.01.28	426.30	428.20	423.50	426.50	1845	0	0
2005.01.31	425.80	427.10	419.20	422.10	2435	0	0
2005.02.01	422.70	423.20	419.10	421.00	1866	0	0
2005.02.02	420.60	423.30	419.60	421.30	1405	0	0
2005.02.03	421.70	422.30	414.20	417.10	2080	0	0
2005.02.04	417.30	418.30	413.30	414.70	1905	0	0
2005.02.07	414.20	416.70	412.20	413.20	2083	0	0
2005.02.08	412.60	414.80	410.20	412.30	2073	0	0
2005.02.09	412.30	414.30	409.80	413.20	1677	0	0
2005.02.10	413.60	419.30	411.30	417.70	2375	0	0
2005.02.11	417.80	422.60	415.80	420.30	1983	0	0
2005.02.14	420.00	426.80	420.00	425.60	2443	0	0
2005.02.15	425.30	427.80	423.20	425.30	2368	0	0
2005.02.16	425.00	426.50	421.60	425.30	2251	0	0
2005.02.17	425.20	429.10	423.70	427.10	2016	0	0
2005.02.18	427.30	428.70	425.30	427.30	1603	0	0
2005.02.21	426.79	428.89	425.79	426.70	1957	0	0
2005.02.22	430.60	436.50	429.80	435.60	2097	0	0
2005.02.23	435.80	436.30	431.20	433.80	2256	0	0
2005.02.24	433.80	437.30	431.60	433.70	2149	0	0
2005.02.25	433.70	436.20	430.60	434.80	2065	0	0
2005.02.28	434.30	438.70	434.20	435.50	2263	0	0
2005.03.01	434.80	436.20	430.30	432.30	2234	0	0
2005.03.02	432.30	434.20	428.30	432.60	1369	0	0
2005.03.03	432.80	434.10	428.60	429.70	1720	0	0
2005.03.04	429.60	435.80	428.70	433.80	2261	0	0
2005.03.07	433.80	435.80	431.80	434.00	1496	0	0
2005.03.08	434.80	441.30	433.80	440.50	774	0	0
2005.03.09	440.30	443.10	438.50	440.20	1412	0	0
2005.03.10	440.30	443.30	439.50	442.10	1109	0	0
2005.03.11	441.80	447.60	439.60	444.30	959	0	0
2005.03.14	444.30	446.00	439.60	440.50	1060	0	0
2005.03.15	440.50	444.80	439.20	440.20	936	0	0
2005.03.16	440.80	444.50	439.30	443.20	1049	0	0
2005.03.17	443.50	444.60	437.10	438.80	1025	0	0
2005.03.18	438.50	440.30	435.50	438.80	930	0	0
2005.03.21	438.60	440.20	428.70	430.80	1000	0	0
2005.03.22	431.20	433.10	425.60	427.10	1280	0	0
2005.03.23	426.80	429.20	423.50	425.30	1553	0	0
2005.03.24	425.00	427.00	423.60	424.30	1533	0	0
2005.03.25	424.70	425.39	424.60	425.00	1143	0	0
2005.03.28	424.30	427.10	423.10	426.20	507	0	0
2005.03.29	425.60	428.30	425.10	425.70	1061	0	0
2005.03.30	425.80	428.60	424.80	426.30	1911	0	0
2005.03.31	426.00	429.50	425.20	427.80	1562	0	0
2005.04.01	427.60	429.30	424.00	425.60	1678	0	0
2005.04.04	425.80	427.20	421.80	423.80	1711	0	0
2005.04.05	424.00	426.10	422.00	424.80	1575	0	0
2005.04.06	424.50	427.80	423.30	426.30	1581	0	0
2005.04.07	426.20	429.00	424.70	425.30	1767	0	0
2005.04.08	425.30	428.00	423.80	426.60	1378	0	0
2005.04.11	426.70	430.30	425.30	427.80	1619	0	0
2005.04.12	428.00	430.60	425.70	427.80	1613	0	0
2005.04.13	427.80	430.00	426.30	428.70	1864	0	0
2005.04.14	428.60	429.80	421.80	423.80	1856	0	0
2005.04.15	423.50	426.30	421.70	424.30	1764	0	0
2005.04.18	424.70	428.60	422.80	426.50	1182	0	0
2005.04.19	427.10	434.30	425.70	433.70	1852	0	0
2005.04.20	433.10	436.20	431.00	434.00	1662	0	0
2005.04.21	434.10	435.70	431.20	432.50	1715	0	0
2005.04.22	432.30	436.00	431.20	434.20	1409	0	0
2005.04.25	434.30	435.30	431.70	434.30	1549	0	0
2005.04.26	434.30	438.20	433.30	436.60	1633	0	0
2005.04.27	436.50	437.80	431.10	432.30	1799	0	0
2005.04.28	432.30	434.30	429.80	431.10	1726	0	0
2005.04.29	430.80	437.30	430.30	434.50	1737	0	0
2005.05.02	434.60	435.10	427.80	429.20	1556	0	0
2005.05.03	428.80	430.60	425.30	427.30	1803	0	0
2005.05.04	426.50	430.30	425.80	428.80	1780	0	0
2005.05.05	428.80	431.80	427.30	430.10	2088	0	0
2005.05.06	430.10	431.70	423.20	425.80	1702	0	0
2005.05.09	425.70	426.80	423.80	425.80	2313	0	0
2005.05.10	425.80	428.50	425.20	426.20	1998	0	0
2005.05.11	425.80	429.00	424.60	427.10	3091	0	0
2005.05.12	427.00	427.80	420.00	421.30	1979	0	0
2005.05.13	420.80	423.10	418.20	419.80	1891	0	0
2005.05.16	419.30	421.30	417.60	419.10	1661	0	0
2005.05.17	419.20	421.80	417.70	418.30	1827	0	0
2005.05.18	418.50	422.30	417.80	421.20	2343	0	0
2005.05.19	421.30	423.80	418.70	420.10	1592	0	0
2005.05.20	419.80	421.70	416.30	417.10	810	0	0
2005.05.23	417.10	418.80	415.80	416.80	1317	0	0
2005.05.24	417.10	419.80	415.30	417.80	1644	0	0
2005.05.25	418.00	420.10	416.20	419.00	1558	0	0
2005.05.26	418.80	420.60	416.10	417.50	1732	0	0
2005.05.27	416.80	420.80	416.80	420.10	996	0	0
2005.05.30	420.00	420.20	417.70	418.10	1914	0	0
2005.05.31	417.60	418.30	413.30	416.80	566	0	0
2005.06.01	416.50	418.30	414.20	414.80	882	0	0
2005.06.02	415.10	424.10	414.60	421.80	1076	0	0
2005.06.03	421.60	425.30	421.20	422.30	863	0	0
2005.06.06	422.10	427.80	422.10	425.60	1037	0	0
2005.06.07	425.60	428.10	423.80	424.60	731	0	0
2005.06.08	423.80	427.10	422.60	423.20	717	0	0
2005.06.09	423.20	425.50	420.60	423.30	739	0	0
2005.06.10	423.30	428.80	421.70	426.60	950	0	0
2005.06.13	426.60	431.20	423.50	426.70	1021	0	0
2005.06.14	428.10	429.00	426.00	426.30	633	0	0
2005.06.15	426.80	430.50	425.50	428.30	714	0	0
2005.06.16	428.60	436.80	427.80	435.10	1005	0	0
2005.06.17	435.80	439.80	435.00	437.10	1013	0	0
2005.06.20	437.60	441.80	436.80	437.60	725	0	0
2005.06.21	437.30	439.50	433.60	438.50	845	0	0
2005.06.22	438.20	439.60	435.80	438.20	647	0	0
2005.06.23	437.60	442.80	435.30	441.20	1042	0	0
2005.06.24	440.80	444.20	437.80	439.80	965	0	0
2005.06.27	439.30	440.80	438.10	439.70	641	0	0
2005.06.28	439.30	440.30	434.80	435.60	752	0	0
2005.06.29	435.80	438.80	433.50	436.60	706	0	0
2005.06.30	436.30	439.30	434.30	435.00	875	0	0
2005.07.01	434.30	437.20	426.30	426.80	838	0	0
