<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.05.02	86.34	86.61	86.29	86.60	39	0	0
2010.05.03	86.59	87.14	85.80	85.91	201	0	0
2010.05.04	85.94	86.21	81.99	82.03	454	0	0
2010.05.05	82.04	82.80	79.14	79.86	515	0	0
2010.05.06	79.88	80.36	74.53	76.93	872	0	0
2010.05.07	76.91	78.15	74.49	75.33	575	0	0
2010.05.09	76.33	76.44	75.79	76.15	113	0	0
2010.05.10	76.14	78.48	75.85	77.25	416	0	0
2010.05.11	77.26	77.66	75.35	75.86	323	0	0
2010.05.12	75.88	76.96	74.74	75.50	407	0	0
2010.05.13	75.48	76.40	73.61	74.05	416	0	0
2010.05.14	74.03	74.06	70.83	71.86	430	0	0
2010.05.16	71.98	72.09	71.79	71.85	48	0	0
2010.05.17	71.85	72.24	69.26	70.53	465	0	0
2010.05.18	70.53	72.50	68.88	71.81	597	0	0
2010.05.19	71.83	73.15	70.68	72.80	398	0	0
2010.05.20	72.81	73.25	68.84	69.58	560	0	0
2010.05.21	69.54	71.20	68.99	70.18	379	0	0
2010.05.23	70.10	70.21	69.83	70.20	67	0	0
2010.05.24	70.19	70.93	69.54	69.79	239	0	0
2010.05.25	69.80	70.10	67.14	69.98	575	0	0
2010.05.26	69.98	71.66	69.20	70.78	413	0	0
2010.05.27	70.78	74.91	70.70	74.63	458	0	0
2010.05.28	74.63	75.70	73.11	74.04	460	0	0
2010.05.30	73.85	73.95	73.83	73.90	20	0	0
2010.05.31	73.90	74.90	73.83	74.90	115	0	0
2010.06.01	74.90	75.30	71.64	72.19	462	0	0
2010.06.02	72.20	73.89	71.66	73.54	313	0	0
2010.06.03	73.55	74.89	72.30	74.50	424	0	0
2010.06.04	74.48	75.40	70.79	71.10	585	0	0
2010.06.06	70.41	70.58	70.15	70.18	64	0	0
2010.06.07	70.19	72.46	69.54	70.78	526	0	0
2010.06.08	70.78	72.58	70.75	72.50	195	0	0
2010.06.09	72.49	74.93	72.00	74.03	433	0	0
2010.06.10	74.05	76.26	73.75	75.43	365	0	0
2010.06.11	75.41	75.61	73.25	74.24	356	0	0
2010.06.13	74.23	74.29	74.18	74.28	18	0	0
2010.06.14	74.26	75.96	74.18	74.76	307	0	0
2010.06.15	74.78	77.14	74.60	77.00	287	0	0
2010.06.16	76.98	78.10	76.04	77.40	371	0	0
2010.06.17	77.39	77.76	76.15	76.35	219	0	0
2010.06.18	76.38	77.43	75.54	77.38	279	0	0
2010.06.20	78.95	79.15	78.95	79.00	36	0	0
2010.06.21	79.01	79.91	77.69	78.29	373	0	0
2010.06.22	78.28	78.86	77.30	77.44	229	0	0
2010.06.23	77.43	77.80	75.18	76.08	390	0	0
2010.06.24	76.06	76.75	75.30	76.59	238	0	0
2010.06.25	76.60	79.09	75.88	79.01	402	0	0
2010.06.27	78.70	78.80	78.58	78.75	40	0	0
2010.06.28	78.73	79.34	77.71	78.06	260	0	0
2010.06.29	78.05	78.29	75.20	75.43	357	0	0
2010.06.30	75.45	76.80	74.40	75.15	451	0	0
2010.07.01	75.18	75.36	72.04	72.78	425	0	0
2010.07.02	72.78	73.35	71.60	72.20	293	0	0
2010.07.04	72.08	72.53	72.08	72.51	48	0	0
2010.07.05	72.50	72.68	71.34	71.80	199	0	0
2010.07.06	71.79	73.84	71.09	72.20	510	0	0
2010.07.07	72.19	74.89	71.43	74.64	448	0	0
2010.07.08	74.65	75.96	74.36	75.73	213	0	0
2010.07.09	75.73	76.46	74.99	76.16	252	0	0
2010.07.11	76.21	76.30	76.13	76.23	33	0	0
2010.07.12	76.20	76.39	74.51	75.05	262	0	0
